sku,product_name,unit,barcode,size_grams,source_sheet,source_row
RB-HK-0104,All Cafe Roasted Coffee Beans Golg Blend 500 g.,pcs,2005002940000,500,Sheet1,192
RB-RT-0054,Aor Me Lee Blend (B) 500 g,Pcs,8857109000736,500,Sheet1,225
RB-HK-0219,ARABICA I2+ Thai Arabica Wet Process 250 g.,pcs,8857109095305,250,Sheet1,242
RB-HK-0203,Beautiful Lady 200 g. ( Hillkoff 's Selection roasted),Pcs,8857109038371,200,Sheet1,313
RB-HK-0202,Beautiful Lady 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109038388,500,Sheet1,314
RB-HK-0424,Brazil Natural Arabica Roasted 250g,Pcs,8857109099402,250,Sheet1,489
RB-HK-0421,Brazil Natural Arabica Roasted 500g,pcs,8857109099297,500,Sheet1,490
RB-HK-0420,Brazil Natural Arabica Specialty Roasted 200g,pcs,8857109099280,200,Sheet1,491
RB-HK-0151,Chom Phu 100% Arabica coffee 500 g (ห้ามจำหน่าย),pcs,8857109017123,500,Sheet1,598
RB-OR-0112,Coffee Cinnamon Roast 500 g.,pcs,,500,Sheet1,623
RB-OR-0063,Coffee d  soft blend   250g,Pcs,8857109001818,250,Sheet1,624
RB-OR-0062,Coffee d Amaro  250 g,Pcs,8857109001283,250,Sheet1,625
RB-OR-0061,Coffee d dark   250g,Pcs,8857109001290,250,Sheet1,626
RB-OR-0091,Coffee D Kong Mu 250g,pcs,8857109099303,250,Sheet1,627
RB-HK-0425,Colombia Huila Supremo Arabica Specialty Roasted 200g,pcs,8857109099419,200,Sheet1,656
RB-HK-0440,Colombia Santander Natural Arabica Roasted 250 g,Pcs,8857109099631,250,Sheet1,657
RB-HK-0443,Colombia Santander Natural Arabica Roasted 500 g,Pcs,8857109099679,500,Sheet1,658
RB-HK-0422,Costa Rica Arabica Specialty Roasted 200g,pcs,8857109101518,200,Sheet1,661
RB-HK-0458,Ethiopia Kurume Gedeb Dancher G1 Arabica Specialty Roasted 200g,Pcs,8857109061867,200,Sheet1,839
RB-HK-0442,Ethiopia Sidama Bombe Arabica Specialty Roasted 200g,Pcs,8857109099655,200,Sheet1,840
RB-HK-0459,Ethiopia Wolisho Guji Hambela Natural G2 Arabica Specialty Roasted 200g,Pcs,8857109061874,200,Sheet1,841
RB-HK-0460,Ethiopia Wolisho Guji Hambela Wasbed G2 Arabica Specialty Roasted 200g,Pcs,8857109061881,200,Sheet1,842
RB-HK-0441,Ethiopia Yirgacheffe Halo G1 Arabica Specialty Roasted 200g,pcs,8857109099648,200,Sheet1,843
RB-HK-0402,FF : Dulapur Arabica Specialty Roasted 250 g.,Pcs,8857109099143,250,Sheet1,884
RB-HK-0406,FF : Sop Moei Arabica Specialty Roasted 250 g.,Pcs,8857109099181,250,Sheet1,905
RB-OR-0075,Frank Coffee Arabica Thai 500กรัม,Pcs,8857109038562,500,Sheet1,1026
RB-HK-0399,Galatte Arabica Specialty Roasted 200 g.,Pcs,8857109099112,200,Sheet1,1044
RB-HK-0400,Galatte Arabica Specialty Roasted 500 g.,Pcs,8857109099129,500,Sheet1,1045
RB-RT-0102,HK : Aor Me Lee Blend 250 g (Bean),Pcs,8857109003546,250,Sheet1,1162
RB-RT-0103,HK : Aor Me Lee Blend 500 g (Bean),pcs,8857109003553,500,Sheet1,1163
RB-HK-0360,HK : Arabica I2+ Thai Arabica Wet Process 250 g.,Pcs,8857109096289,250,Sheet1,1164
RB-HK-0361,HK : Arabica I2+ Thai Arabica Wet Process 500 g.,Pcs,8857109096296,500,Sheet1,1165
RB-HK-0345,HK : Black Thai Roast 250 g (Bean),Pcs,8857109096135,250,Sheet1,1174
RB-HK-0347,HK : Black Thai Roast 500 g (Bean),Pcs,8857109096159,500,Sheet1,1177
RB-RT-0100,HK : Blaze Blend 250 g (Bean),Pcs,8857109003522,250,Sheet1,1178
RB-RT-0101,HK : Blaze Blend 500 g (Bean),Pcs,8857109003539,500,Sheet1,1179
RB-HK-0353,HK : City Roast 250 g (Bean),Pcs,8857109096210,250,Sheet1,1180
RB-HK-0355,HK : City Roast 500 g (Bean),Pcs,8857109096234,500,Sheet1,1181
RB-RT-0094,HK : Classic Blend 250 g (Bean),Pcs,8857109003430,250,Sheet1,1182
RB-RT-0095,HK : Classic Blend 500 g (Bean),Pcs,8857109003447,500,Sheet1,1183
RB-HK-0547,HK : Doi Chang  Roasted 250 g (Bean) Plus,pcs,,250,Sheet1,1184
RB-RT-0096,HK : Extreme Blend 250 g (Bean),Pcs,8857109003454,250,Sheet1,1185
RB-RT-0097,HK : Extreme Blend 500 g (Bean),pcs,8857109003461,500,Sheet1,1186
RB-HK-0363,HK : French Roast 250 g (Bean),Pcs,8857109096319,250,Sheet1,1187
RB-HK-0365,HK : French Roast 500 g (Bean),Pcs,8857109096333,500,Sheet1,1189
RB-HK-0373,HK : Hom-La-Mai Roast 250 g (Bean),Pcs,8857109096432,250,Sheet1,1193
RB-HK-0375,HK : Hom-La-Mai Roast 500 g (Bean),Pcs,8857109096456,500,Sheet1,1194
RB-RT-0090,HK : Maxx Blend 250 g (Bean),Pcs,8857109003270,250,Sheet1,1195
RB-RT-0091,HK : Maxx Blend 500 g (Bean),Pcs,8857109003294,500,Sheet1,1196
RB-HK-0370,HK : Omkoi Organic Roasted 250 g.,Pcs,8857109096401,250,Sheet1,1219
RB-HK-0371,HK : Omkoi Organic Roasted 500 g.,Pcs,8857109096418,500,Sheet1,1220
RB-RT-0112,HK : Robusta black roast 500 g (Bean),Pcs,8857109003829,500,Sheet1,1222
RB-RT-0104,HK : Robusta french roast 250 g (Bean),Pcs,8857109003577,250,Sheet1,1223
RB-RT-0105,HK : Robusta french roast 500 g (Bean),Pcs,8857109003584,500,Sheet1,1224
RB-RT-0106,HK : Robusta Italian roast 250 g (Bean),Pcs,8857109003591,250,Sheet1,1226
RB-RT-0107,HK : Robusta Italian roast 500 g (Bean),Pcs,8857109003607,500,Sheet1,1227
RB-RT-0098,HK : Royal Blend 250 g (Bean),Pcs,8857109003508,250,Sheet1,1229
RB-RT-0099,HK : Royal Blend 500 g (Bean),Pcs,8857109003515,500,Sheet1,1230
RB-HK-0450,HK : Samoeng Arabica Specialty Roasted 200g,Pcs,8857109099747,200,Sheet1,1231
RB-HK-0357,HK : Special Mild Roast 250 g  (Bean),Pcs,8857109096258,250,Sheet1,1232
RB-HK-0359,HK : Special Mild Roast 500 g (Bean),Pcs,8857109096272,500,Sheet1,1233
RB-RT-0092,HK : Supremo Blend 250 g (Bean),Pcs,8857109003409,250,Sheet1,1234
RB-RT-0093,HK : Supremo Blend 500 g (Bean),Pcs,8857109003423,500,Sheet1,1235
RB-RT-0120,HK : Supremo Blend 500 g (Bean) TB,Pcs,,500,Sheet1,1236
RB-HK-0366,HK : Thai Arabica Dry Process 250 g,Pcs,8857109096340,250,Sheet1,1237
RB-HK-0367,HK : Thai Arabica Dry Process 500 g,Pcs,8857109096357,500,Sheet1,1238
RB-HK-0368,HK : Thai Arabica Honey Process 250 g,Pcs,8857109096364,250,Sheet1,1239
RB-HK-0369,HK : Thai Arabica Honey Process 500 g,Pcs,8857109096371,500,Sheet1,1240
RB-HK-0349,HK : Thai Espresso Roast 250 g (Bean) Low Carbon Coffee,Pcs,8857109096173,250,Sheet1,1241
RB-HK-0351,HK : Thai Espresso Roast 500 g (Bean) Low Carbon Coffee,Pcs,8857109096197,500,Sheet1,1243
RB-HG-0011,Hom Glai : Doi Phatang 250 G,pcs,8857109007001,250,Sheet1,1355
